,m (g),r (cm),rho (g cm-3),T (K),P (dyne cm-2),l (erg s-1),epsilon (erg g-1 s-1),epsilon_pp (erg g-1 s-1),epsilon_CNO (erg g-1 s-1),kappa (cm2 g-1),del_ad,del_rad,del,nature of energy transport
293,6.4233937884783724e+32,14589804663.693842,34.29223579350098,9435674.48212303,4.340157991241766e+16,2.8563596933366816e+33,1.1379713117378596,1.1379259869701028,4.532476775670558e-05,2.8011148572118345,0.39944894631201655,0.26899443347991303,0.26899443347991303,radiative
294,6.4453166341653705e+32,14613738535.543152,34.19693638382093,9426027.722682739,4.323671040290483e+16,2.858846966363432e+33,1.1293684650191345,1.1293243327317328,4.413228740153768e-05,2.805142618193813,0.399449103246703,0.26877549974869147,0.26877549974869147,radiative
295,6.4672394798523686e+32,14637660073.888649,34.101812658780936,9416392.35099628,4.307236161386434e+16,2.861315335100486e+33,1.1208264833581045,1.120783512488105,4.297086999950658e-05,2.809171716503651,0.39944925843501483,0.268556615590688,0.268556615590688,radiative
296,6.489162325539367e+32,14661569452.75398,34.006864250425856,9406768.31231311,4.290853171319633e+16,2.8637649290621775e+33,1.1123449351132033,1.1123030954031172,4.1839710086112174e-05,2.813202161280037,0.3994494118793323,0.26833777959941324,0.26833777959941324,radiative
297,6.511085171226366e+32,14685466846.726181,33.91209078956138,9397155.552150274,4.274521887475844e+16,2.866195877130459e+33,1.1039233919070082,1.1038826538839004,4.073802310786346e-05,2.817233961543574,0.3994495635819339,0.26811899037468545,0.26811899037468545,radiative
298,6.533008016913364e+32,14709352430.95567,33.81749190577592,9387554.01629243,4.2582421278365816e+16,2.8686083075549e+33,1.0955614286001563,1.0955217635552805,3.966504487570269e-05,2.8212671261942583,0.3994497135450036,0.2679002465210093,0.2679002465210093,radiative
299,6.554930862600362e+32,14733226381.156246,33.72306722746251,9377963.650791828,4.242013710979107e+16,2.871002347952689e+33,1.0872586232654038,1.0872200032343708,3.862003103289397e-05,2.82530166400895,0.3994498617706265,0.26768154664598776,0.26768154664598776,radiative
300,6.576853708287361e+32,14757088873.6051,33.62881638184071,9368384.401968315,4.2258364560764296e+16,2.8733781253086316e+33,1.079014557161922,1.0789769549053851,3.760225653696019e-05,2.82933758363879,0.3994500082607889,0.26746288935875634,0.26746288935875634,radiative
301,6.59877655397436e+32,14780940085.142801,33.534738994978646,9358816.216409346,4.209710182897309e+16,2.8757357659751534e+33,1.0708288147098306,1.0707922036946753,3.6611015155318216e-05,2.8333748936066665,0.3994501530173791,0.267244273268452,0.267244273268452,radiative
302,6.620699399661357e+32,14804780193.173306,33.440834691815006,9349259.04096997,4.193634711806252e+16,2.878075395672296e+33,1.062700983464914,1.0626653378459396,3.564561897422611e-05,2.8374136023046375,0.39945029604218524,0.26702569698270695,0.26702569698270695,radiative
303,6.642622245348356e+32,14828609375.663954,33.34710309618108,9339712.822772834,4.177609863763514e+16,2.8803971394877213e+33,1.0546306540935584,1.0545959486956378,3.470539792069338e-05,2.8414537179913357,0.3994504373368975,0.26680715910616853,0.26680715910616853,radiative
304,6.664545091035354e+32,14852427811.14547,33.253543830822885,9330177.509208191,4.161635460325099e+16,2.882701121876707e+33,1.0466174203478813,1.0465836306485843,3.378969929701415e-05,2.845495248789368,0.3994505769031054,0.2665886582390459,0.2665886582390459,radiative
305,6.686467936722352e+32,14876235678.711964,33.16015651742328,9320653.047933888,4.145711323642761e+16,2.884987466662151e+33,1.0386608790410878,1.0386279811537602,3.289788732756286e-05,2.849538202682738,0.39945071474229993,0.26637019297568704,0.26637019297568704,radiative
306,6.70839078240935e+32,14900033158.02093,33.06694077662416,9311139.38687537,4.129837276464e+16,2.887256297034567e+33,1.0307606300230143,1.0307286006802967,3.202934271755545e-05,2.8535825875141705,0.3994508508558701,0.26615176190317136,0.26615176190317136,radiative
307,6.730313628096348e+32,14923820429.293245,32.9738962280486,9301636.47422569,4.1140131421320664e+16,2.88950773555209e+33,1.022916276155877,1.0228850926936535,3.118346222342492e-05,2.8576284109825427,0.39945098524510525,0.26593336359993924,0.26593336359993924,radiative
308,6.752236473783346e+32,14947597673.313173,32.88102249032318,9292144.258445494,4.098238744585958e+16,2.89174190414047e+33,1.0151274232902194,1.015097063631985,3.0359658234525078e-05,2.861675680640182,0.3994511179111926,0.26571499663443554,0.26571499663443554,radiative
309,6.774159319470344e+32,14971365071.428362,32.78831918110023,9282662.688263025,4.082513908360422e+16,2.8939589240930774e+33,1.0073936802410595,1.0073641228826937,2.9557358365847954e-05,2.8657244038902676,0.3994512488552197,0.26549665956378626,0.26549665956378626,radiative
310,6.796082165157342e+32,14995122805.549843,32.69578591708013,9273191.712674133,4.0668384585859544e+16,2.896158916070899e+33,0.999714658764244,0.9996858827591826,2.877600506145771e-05,2.8697745879840912,0.3994513780781711,0.2652783509324867,0.2652783509324867,radiative
311,6.81800501084434e+32,15018871058.152033,32.60342231403369,9263731.280942265,4.051212220988798e+16,2.898342000102541e+33,0.9920899735329594,0.992061958477751,2.8015055208365012e-05,2.873826240018465,0.3994515055809293,0.2650600692711287,0.2650600692711287,radiative
312,6.839927856531338e+32,15042610012.272732,32.511227986824565,9254281.342598462,4.0356350218909464e+16,2.9005082955842273e+33,0.9845192421144848,0.9844919681347243,2.727397976055879e-05,2.8778793669329517,0.39945163136427553,0.26484181309513494,0.26484181309513494,radiative
313,6.861850702218337e+32,15066339851.513124,32.419202549431624,9244841.847441373,4.020106688210141e+16,2.9026579212798e+33,0.977002084947105,0.9769755326837322,2.65522633729183e-05,2.881933975507217,0.39945175542888633,0.26462358090352556,0.26462358090352556,radiative
314,6.883773547905335e+32,15090060760.03778,32.32734561497145,9235412.745537242,4.004627047459869e+16,2.9047909953207185e+33,0.9695381253172065,0.9695122759131618,2.584940404475144e-05,2.885990072358275,0.3994518777753375,0.26440537117770035,0.26440537117770035,radiative
315,6.905696393592334e+32,15113772922.57466,32.23565679572086,9225993.98721991,3.98919592774937e+16,2.906907635206062e+33,0.9621269893365934,0.9621018244238206,2.516491277270021e-05,2.890047663937795,0.39945199840409823,0.2641871823802487,0.2641871823802487,radiative
316,6.927619239279332e+32,15137476524.415092,32.144135703139405,9216585.523090824,3.973813157783631e+16,2.909007957802526e+33,0.9547683059199568,0.954743807606744,2.44983132127578e-05,2.894106756529345,0.39945211731553687,0.2639690129537731,0.2639690129537731,radiative
317,6.94954208496633e+32,15161171751.413805,32.05278194789197,9207187.304019028,3.958478566863387e+16,2.911092079344426e+33,0.9474617067625485,0.9474378576211974,2.3849141351163093e-05,2.898167356245648,0.3994522345099146,0.2637508613197397,0.2637508613197397,radiative
318,6.971464930653329e+32,15184858789.988907,31.961595139871424,9197799.281141162,3.9431919848851224e+16,2.913160115433693e+33,0.940206826318022,0.9401836093728381,2.321694518393013e-05,2.902229469025801,0.3994523499873907,0.26353272587734283,0.26353272587734283,radiative
319,6.993387776340327e+32,15208537827.12189,31.87057488822115,9188421.40586147,3.927953242341068e+16,2.91521218103988e+33,0.9330033017764758,0.932980700492071,2.2601284404787284e-05,2.90629310063254,0.399452463748017,0.2633146050023966,0.2633146050023966,radiative
320,7.015310622027325e+32,15232209050.35763,31.77972080135787,9179053.629851794,3.912762170319205e+16,2.917248390500154e+33,0.9258507730426402,0.9258287713125389,2.2001730101298088e-05,2.9103582566494257,0.3994525757917409,0.26309649704623983,0.26309649704623983,radiative
321,7.037233467714323e+32,15255872647.804388,31.689032486994282,9169695.905051576,3.897618600503264e+16,2.9192688575193026e+33,0.918748882714288,0.918727464849829,2.1417864458950422e-05,2.914424942478033,0.39945268611840423,0.26287840033466026,0.26287840033466026,radiative
322,7.059156313401321e+32,15279528808.133812,31.598509552161833,9160348.183667855,3.88252236517272e+16,2.921273695169731e+33,0.9116972760607798,0.9116764267803068,2.084928047300011e-05,2.91849316333518,0.3994527947277411,0.2626603131668439,0.2626603131668439,radiative
323,7.081079159088319e+32,15303177720.580929,31.50815160323356,9151010.418175273,3.867473297202802e+16,2.923263015891462e+33,0.9046956010018242,0.9046753054201564,2.029558166786262e-05,2.9225629242500917,0.3994529016193807,0.26244223381433635,0.26244223381433635,radiative
324,7.103002004775317e+32,15326819574.944157,31.417958245946856,9141682.56131607,3.852471230064484e+16,2.9252369314921376e+33,0.8977435080863592,0.8977237517045353,1.9756381823854457e-05,2.926634230061539,0.3994530067928433,0.26222416052002195,0.26222416052002195,radiative
325,7.124924850462315e+32,15350454561.585293,31.32792908542638,9132364.566100083,3.83751599782449e+16,2.927195553147017e+33,0.8908406504716638,0.8908214191669528,1.923130471108544e-05,2.9307070854150266,0.3994531102475435,0.2620060914971264,0.2620060914971264,radiative
326,7.146847696149313e+32,15374082871.42952,31.23806372620693,9123056.385804757,3.8226074351452904e+16,2.929138991398978e+33,0.8839866839025952,0.8839679639187649,1.8719983830320266e-05,2.9347814947599313,0.39945321198278644,0.26178802492823244,0.26178802492823244,radiative
327,7.168770541836311e+32,15397704695.965408,31.148361772256457,9113757.973975126,3.807745377285107e+16,2.9310673561585166e+33,0.8771812666910043,0.8771630446288436,1.8222062160612364e-05,2.938857462346621,0.3994533119977694,0.261569958964314,0.261569958964314,radiative
328,7.19069338752331e+32,15421320227.244911,31.05882282699893,9104469.284423832,3.792929660097909e+16,2.932980756703746e+33,0.8704240596953599,0.8704063225034463,1.7737191913543647e-05,2.942934992223573,0.3994534102915813,0.26135189172378515,0.26135189172378515,radiative
329,7.212616233210308e+32,15444929657.883362,30.96944649333748,9095190.27123111,3.778160120033413e+16,2.934879301680398e+33,0.8637147263004612,0.8636974612661673,1.72650342938832e-05,2.9470140882344906,0.3994535068632006,0.26113382129157076,0.26113382129157076,radiative
330,7.234539078897307e+32,15468533181.059488,30.88023237367734,9085920.888744796,3.763436594137085e+16,2.9367630991018237e+33,0.8570529323973798,0.8570361271381133,1.680525926650531e-05,2.9510947540153967,0.3994536017114971,0.26091574571818854,0.26091574571818854,radiative
331,7.256461924584305e+32,15492130990.515392,30.79118006994901,9076661.091580331,3.7487589200501416e+16,2.938632256348991e+33,0.8504383463635489,0.8504219888182195,1.6357545329396375e-05,2.9551769929917002,0.39945369483522986,0.2606976630188481,0.2606976630188481,radiative
